image,x,y
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,133,229
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,217,346
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,249,314
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,185,352
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,71,279
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,61,357
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,76,174
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,96,252
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0021_3600_2000.png,272,275
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0033_400_400.png,152,182
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0033_400_400.png,49,136
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0033_400_400.png,27,242
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0033_400_400.png,106,251
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0033_400_400.png,285,273
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.png,270,76
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.png,247,38
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.png,321,47
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,278,290
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,261,324
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,186,313
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,146,303
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,109,261
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,292,375
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,154,378
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.0.png,63,376
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0016_1600_2800.aug.0.png,366,132
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0016_1600_2800.aug.0.png,358,352
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0007_800_0.aug.2.png,284,184
