image,x,y,mask
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,308,147,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.308.147.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,273,222,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.273.222.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,76,34,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.76.34.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0029_2400_800.png,226,296,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0029_2400_800.226.296.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0029_2400_800.png,268,221,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0029_2400_800.268.221.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0029_2400_800.png,301,305,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0029_2400_800.301.305.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0059_4000_400.png,191,90,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0059_4000_400.191.90.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0059_4000_400.png,86,232,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0059_4000_400.86.232.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0059_4000_400.png,158,214,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0059_4000_400.158.214.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0059_4000_400.png,107,297,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0059_4000_400.107.297.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_1600.png,316,175,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_1600.316.175.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0033_2800_0.png,163,179,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0033_2800_0.163.179.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0033_2800_0.png,119,96,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0033_2800_0.119.96.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0033_2800_0.png,305,298,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0033_2800_0.305.298.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0033_2800_0.png,162,372,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0033_2800_0.162.372.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0033_400_2800.png,330,280,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0033_400_2800.330.280.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0057_0_2800.png,174,356,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0057_0_2800.174.356.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0057_0_2800.png,256,309,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0057_0_2800.256.309.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0019_3600_1200.png,182,173,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0019_3600_1200.182.173.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0007_800_0.png,293,213,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.293.213.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0007_800_0.png,277,304,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.277.304.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0007_800_0.png,274,261,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.274.261.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0007_800_0.png,377,335,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.377.335.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0007_800_0.png,312,279,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.312.279.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0037_4000_1600.png,326,354,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0037_4000_1600.326.354.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0037_4000_1600.png,49,293,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0037_4000_1600.49.293.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0051_1600_1200.png,326,60,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0051_1600_1200.326.60.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_400_400.png,164,255,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_400_400.164.255.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3600_0.png,86,92,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3600_0.86.92.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3600_0.png,62,151,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3600_0.62.151.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0047_1600_400.png,319,91,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0047_1600_400.319.91.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0036_400_1600.png,320,348,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0036_400_1600.320.348.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0048_3600_1600.png,137,33,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0048_3600_1600.137.33.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0048_3600_1600.png,254,134,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0048_3600_1600.254.134.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0048_3600_1600.png,302,126,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0048_3600_1600.302.126.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0048_2800_2400.png,181,195,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0048_2800_2400.181.195.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0047_2400_0.png,155,305,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0047_2400_0.155.305.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0047_2400_0.png,358,353,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0047_2400_0.358.353.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0047_2400_0.png,56,317,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0047_2400_0.56.317.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0050_400_800.png,279,243,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0050_400_800.279.243.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0056_3600_2000.png,47,245,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0056_3600_2000.47.245.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0026_800_2400.png,281,161,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0026_800_2400.281.161.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0047_2800_400.png,299,227,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0047_2800_400.299.227.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0047_2800_400.png,25,136,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0047_2800_400.25.136.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0047_2800_400.png,207,264,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0047_2800_400.207.264.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0046_3200_0.png,178,244,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0046_3200_0.178.244.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0033_400_400.png,152,182,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0033_400_400.152.182.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.png,247,38,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0025_0_1600.247.38.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.png,321,47,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0025_0_1600.321.47.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.png,270,76,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0025_0_1600.270.76.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0007_800_0.aug.2.png,284,184,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.284.184.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0007_800_0.aug.2.png,269,139,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.269.139.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0007_800_0.aug.2.png,272,93,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.272.93.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0007_800_0.aug.2.png,370,72,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0007_800_0.370.72.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0053_400_1200.aug.0.png,318,82,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0053_400_1200.318.82.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_1600_2000.aug.1.png,244,370,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0025_1600_2000.244.370.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0050_400_800.png,279,245,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0050_400_800.279.245.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0050_400_800.png,234,269,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0050_400_800.234.269.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0050_2400_1200.aug.1.png,377,301,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0050_2400_1200.377.301.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0005_2800_1200.aug.2.png,145,72,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0005_2800_1200.145.72.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0005_2800_1200.aug.2.png,220,24,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0005_2800_1200.220.24.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0005_2800_1200.aug.2.png,389,164,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0005_2800_1200.389.164.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.aug.1.png,320,349,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0025_0_1600.320.349.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.aug.1.png,251,355,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0025_0_1600.251.355.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0025_0_1600.aug.1.png,273,329,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0025_0_1600.273.329.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0058_3600_0.aug.2.png,324,84,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0058_3600_0.324.84.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0058_3600_0.aug.2.png,288,159,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0058_3600_0.288.159.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0058_3600_0.aug.2.png,248,105,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0058_3600_0.248.105.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/augmented/100_0058_3600_0.aug.2.png,130,333,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0058_3600_0.130.333.mask.npy
