image,x,y,mask
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,299,58,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.299.58.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,308,147,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.308.147.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,273,222,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.273.222.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,324,300,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.324.300.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,272,321,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.272.321.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0045_0_2400.png,364,288,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0045_0_2400.364.288.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_800_2800.png,228,197,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_800_2800.228.197.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_800_2800.png,311,202,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_800_2800.311.202.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_800_2800.png,306,133,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_800_2800.306.133.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_800_2800.png,327,347,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_800_2800.327.347.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_800_2800.png,175,370,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_800_2800.175.370.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,109,178,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.109.178.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_800_2800.png,251,371,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_800_2800.251.371.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,114,125,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.114.125.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,175,169,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.175.169.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,76,34,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.76.34.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,184,120,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.184.120.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,246,93,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.246.93.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,255,193,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.255.193.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,190,238,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.190.238.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,52,232,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.52.232.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,254,161,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.254.161.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0060_3200_3200.png,40,161,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0060_3200_3200.40.161.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,182,183,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.182.183.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,256,233,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.256.233.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,245,300,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.245.300.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,347,187,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.347.187.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,342,127,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.342.127.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,381,242,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.381.242.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,376,301,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.376.301.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0035_400_2800.png,253,380,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0035_400_2800.253.380.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0018_3200_800.png,163,161,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0018_3200_800.163.161.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0018_3200_800.png,332,102,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0018_3200_800.332.102.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0018_3200_800.png,136,90,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0018_3200_800.136.90.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0022_800_2800.png,105,198,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0022_800_2800.105.198.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0022_800_2800.png,49,209,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0022_800_2800.49.209.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0022_800_2800.png,101,95,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0022_800_2800.101.95.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0022_800_2800.png,326,365,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0022_800_2800.326.365.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_2400_3200.png,223,190,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_2400_3200.223.190.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_2400_3200.png,129,176,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_2400_3200.129.176.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_2400_3200.png,166,144,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_2400_3200.166.144.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_2400_3200.png,182,244,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_2400_3200.182.244.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,291,194,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.291.194.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0030_2400_3200.png,59,204,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0030_2400_3200.59.204.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,362,117,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.362.117.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,277,99,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.277.99.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,337,67,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.337.67.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,390,161,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.390.161.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,391,73,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.391.73.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,384,220,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.384.220.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,288,151,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.288.151.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,288,237,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.288.237.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,215,292,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.215.292.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,264,264,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.264.264.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,253,315,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.253.315.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,223,355,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.223.355.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,55,282,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.55.282.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,41,319,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.41.319.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,246,95,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.246.95.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,211,102,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.211.102.mask.npy
/home/jack/Mounts/DiskOne/kona_coffee/splits/100_0023_1200_2000.png,310,325,/home/jack/Mounts/DiskOne/kona_coffee/masks/100_0023_1200_2000.310.325.mask.npy
