image,lifecycle
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0045_0_2400.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_3200_3200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_3200_3200.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_3200_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_3200_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_3200_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0035_400_2800.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_3200_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0035_400_2800.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0035_400_2800.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0035_400_2800.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0018_3200_800.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0018_3200_800.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0018_3200_800.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0022_800_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0022_800_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0022_800_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0022_800_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0030_2400_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0030_2400_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0030_2400_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0030_2400_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0023_1200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0001_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0001_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0001_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0001_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0001_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0001_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0055_1600_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0055_1600_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0055_1600_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0055_1600_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_2400_800.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_2400_800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_2400_800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_2400_800.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_4000_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_4000_400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_4000_400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_4000_400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_4000_400.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_4000_400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0045_0_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0055_1600_1600.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0055_1600_1600.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0055_1600_1600.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0032_2800_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0032_2800_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0032_2800_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_2400_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_2400_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_2400_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_2400_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0033_2800_0.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0033_2800_0.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_2400_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0033_400_2800.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0057_0_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0057_0_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0057_0_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0057_0_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0057_0_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0004_3600_800.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0004_3600_800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_3200_2000.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0029_3200_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0046_1600_3200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_3600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_3600_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_3600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_3600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_3600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_3600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_3600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0013_2800_0.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0045_2000_3200.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0011_2400_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0045_2000_3200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0045_2000_3200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_400_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_3200_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_3200_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_3200_2800.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0051_1600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_3200_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0051_1600_1200.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0051_1600_1200.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0051_1600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0051_1600_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0051_1600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_800_2800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_2800_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_1200_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_1200_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0019_1200_1600.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0054_1600_400.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0033_0_1200.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_4000_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_4000_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_3600_0.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0053_4000_800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0053_4000_800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0053_4000_800.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0053_4000_800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0053_4000_800.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0060_1200_1200.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0009_1600_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0009_1600_400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0047_1600_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0047_1600_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0012_2000_2000.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0009_2400_800.png,ripening
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0036_400_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0036_400_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_3600_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_3600_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_3600_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_3600_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_3600_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_3600_1600.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_2800_2400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_2800_2400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_2800_2400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_2800_2400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0048_2800_2400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_3200_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_3200_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_3200_400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0059_3200_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_800_2400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0025_800_2400.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_1600_1200.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_1600_1200.png,unripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_400_400.png,ripe
/home/jack/Mounts/DiskOne/kona_coffee/imagemasks/100_0020_1600_1200.png,unripe
